scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
33,333.99037742614746,153.49510669708252,1.0,339.6385498046875,154.34431767463684,0.0005072010098956525,198.60018229484558,131.5320086479187,1.0,440.6032190322876,119.86045217514038,1.0,200.25006246566772,242.6069996356964,1.0
34,334.5206093788147,154.92106866836548,1.0,339.05836486816406,156.23986038565636,0.00016689496987964958,199.86182689666748,128.3639693260193,1.0,440.6900553703308,119.8896815776825,1.0,201.333993434906,242.5037317276001,1.0
35,332.6887404322624,154.09888362884521,1.0,338.1246156692505,155.9890844654292,0.00022444054775405675,205.02105176448822,116.74707126617432,1.0,441.0819983482361,119.79689526557922,1.0,200.9299144744873,242.95941877365112,1.0
36,335.7800657749176,152.6739854812622,1.0,341.09941577911377,155.12860071659088,9.463789319852367e-05,215.23912620544434,92.83808898925781,1.0,440.67926502227783,119.50744271278381,1.0,206.06218647956848,243.3914933204651,1.0
37,337.29484462738037,152.40646028518677,1.0,342.0026488304138,152.80107927322388,0.0006739801028743386,224.3570261001587,75.29744052886963,1.0,440.3160524368286,119.71087431907654,1.0,187.8576712757349,242.69509887695312,0.7512873411178589
38,338.1002173423767,153.14309692382812,1.0,342.8111262321472,153.22000074386597,0.0004889215342700481,227.46686601638794,64.98404836654663,1.0,440.76379203796387,120.26929759979248,1.0,201.98600053787231,244.11200618743896,1.0
39,337.10381412506104,154.08265161514282,1.0,342.546040058136,156.59085816144943,0.00019789530779235065,234.07631015777588,49.201711893081665,1.0,441.58140087127686,120.42537546157837,1.0,204.42919209599495,243.72695589065552,1.0
40,335.84409070014954,156.70543605089188,1.0,341.97851276397705,160.52618026733398,0.00036437809467315674,220.86864656209946,62.22077655792236,0.9999929666519165,441.1643543243408,121.00466585159302,1.0,201.05134916305542,244.97820568084717,1.0
41,336.7749021053314,159.40216827392578,1.0,342.37717628479004,161.86330890655518,0.0017665522173047066,212.12145328521729,64.03636932373047,1.0,440.39387369155884,120.65327548980713,1.0,201.5679054260254,245.24553799629211,1.0
42,339.86999651789665,159.6072494983673,1.0,222.72623944282532,237.25503933429718,0.0013214212376624346,218.39731311798096,59.351853370666504,1.0,439.1348383426666,119.88182544708252,1.0,199.49883842468262,245.1337389945984,1.0
43,336.3277311325073,156.65635299682617,1.0,341.2616105079651,159.88169813156128,0.00020340719493106008,217.7239065170288,47.26897358894348,1.0,439.7256200313568,120.48397064208984,1.0,221.62472784519196,244.08268643170595,1.0
44,348.6866761445999,113.17753005027771,0.986343264579773,191.19527220726013,220.7303031682968,0.0006122983759269118,215.04896640777588,55.87567615509033,1.0,442.16878175735474,120.35541200637817,1.0,203.7308702468872,239.90815043449402,1.0
45,356.19469714164734,122.82590627670288,1.0,362.01716339588165,126.48394298553467,0.00044099221122451127,237.81404221057892,72.24002742767334,1.0,439.7019467353821,119.19468069076538,1.0,200.87825059890747,242.60464811325073,1.0
46,355.10068398714066,124.65483844280243,1.0,361.86401295661926,128.06379079818726,0.0007594769122079015,236.47171214222908,70.09295201301575,1.0,440.2519693374634,118.82748341560364,1.0,209.4766206741333,243.53842639923096,1.0
47,354.8792448043823,126.77620530128479,1.0,360.12577629089355,129.8258981704712,0.0005856906645931304,235.46106266975403,66.61522102355957,1.0,440.2202172279358,119.56269073486328,1.0,203.69215154647827,242.26859855651855,1.0
48,354.4485559463501,128.99474048614502,1.0,359.12797355651855,131.03516161441803,0.003840009681880474,233.90088367462158,66.86589336395264,1.0,439.1989288330078,119.80630493164062,1.0,201.3327612876892,241.39464139938354,1.0
49,354.93070352077484,130.36418437957764,1.0,359.605544090271,131.61669644713402,0.004314259625971317,228.16970112919807,71.91717314720154,1.0,437.1598838567734,120.85138034820557,1.0,201.06438732147217,240.378408908844,1.0
50,354.98559629917145,131.34242916107178,1.0,359.6677327156067,132.21154813468456,0.003047417849302292,230.47128772735596,73.61792802810669,1.0,440.77633571624756,122.55428004264832,1.0,205.67568957805634,241.5035433769226,1.0
51,356.1645615398884,131.48675537109375,1.0,360.568247795105,132.13480868935585,0.006398471537977457,229.4701133966446,73.48082780838013,1.0,442.6562087535858,119.93690037727356,1.0,203.76376104354858,242.31230926513672,1.0
